time_s,flow_id,src,dst,throughput_kbps,delay_ms,lost_packets
120.000,110,10.0.20.2,10.0.80.2,0.368,2.545,1
120.000,111,10.0.20.2,10.0.80.2,0.368,2.568,1
120.000,112,10.0.20.2,10.0.80.2,0.368,2.614,1
120.000,113,10.0.20.2,10.0.80.2,0.368,2.636,1
120.000,114,10.0.20.2,10.0.80.2,0.368,2.659,1
120.000,115,10.0.20.2,10.0.80.2,0.368,2.659,1
120.000,116,10.0.20.2,10.0.80.2,0.368,2.682,1
120.000,117,10.0.20.2,10.0.80.2,0.368,2.750,1
120.000,118,10.0.20.2,10.0.80.2,0.368,2.773,1
120.000,119,10.0.20.2,10.0.80.2,0.368,2.795,1
120.000,120,10.0.20.2,10.0.80.2,0.368,2.818,1
120.000,121,10.0.20.2,10.0.80.2,0.368,2.841,1
120.000,122,10.0.20.2,10.0.80.2,0.368,2.886,1
120.000,123,10.0.20.2,10.0.80.2,0.368,2.932,1
120.000,124,10.0.20.2,10.0.80.2,0.368,2.955,1
120.000,125,10.0.20.2,10.0.80.2,0.368,3.000,1
120.000,126,10.0.20.2,10.0.80.2,0.368,3.023,1
120.000,127,10.0.20.2,10.0.80.2,0.368,3.114,1
120.000,128,10.0.20.2,10.0.80.2,0.368,3.114,1
120.000,129,10.0.20.2,10.0.80.2,0.368,3.159,1
120.000,130,10.0.20.2,10.0.80.2,0.368,3.205,1
120.000,131,10.0.20.2,10.0.80.2,0.368,3.227,1
120.000,132,10.0.20.2,10.0.80.2,0.368,3.250,1
120.000,133,10.0.20.2,10.0.80.2,0.368,3.273,1
120.000,134,10.0.20.2,10.0.80.2,0.368,3.295,1
120.000,135,10.0.20.2,10.0.80.2,0.368,3.318,1
120.000,136,10.0.20.2,10.0.80.2,0.368,3.341,1
120.000,137,10.0.20.2,10.0.80.2,0.368,3.432,1
120.000,138,10.0.20.2,10.0.80.2,0.368,3.477,1
120.000,139,10.0.20.2,10.0.80.2,0.368,3.500,1
120.000,140,10.0.20.2,10.0.80.2,0.368,3.523,1
120.000,141,10.0.20.2,10.0.80.2,0.368,3.545,1
120.000,142,10.0.20.2,10.0.80.2,0.368,3.568,1
120.000,143,10.0.20.2,10.0.80.2,0.368,3.591,1
120.000,144,10.0.20.2,10.0.80.2,0.368,3.614,1
120.000,145,10.0.20.2,10.0.80.2,0.368,3.636,1
120.000,146,10.0.20.2,10.0.80.2,0.368,3.750,1
120.000,147,10.0.20.2,10.0.80.2,0.368,3.818,1
120.000,148,10.0.20.2,10.0.10.2,4.369,0.189,0
120.000,149,10.0.20.2,10.0.50.2,4.369,0.189,0
120.000,150,10.0.20.2,10.0.80.2,846.306,4.567,0
